Дата;Tн.в. - температура наружного воздуха, гр.С (ГМЦ);Тв.р. - температура воздуха внутри помещения расчетная, гр.С;Тп.р. - температура подающего трубопровода расчетная, гр.С;То.р. - температура обратного трубопровода расчетная, гр.С;Tн.р. - расчетная температура наружного воздуха, гр.С;q - относительная тепловая мощность системы отопления;n - показатель степени;q - относительная тепловая мощность системы отопления в степени = 0,8;Т3 - расчетная температура темлоносителя в подающем трубопроводе после смесительного устройства, гр. С;Фактическая температура теплоносителя (согласно показаний ОДПУ);Tн.в. - температура наружного воздуха, гр.С (расчетная)
23.10.2017;-0,2;20;95;70;-35;0,3673;0,8;0,4487;52,64;49,65;2,01
24.10.2017;3,8;20;95;70;-35;0,2945;0,8;0,3761;47,19;50,91;20,0
25.10.2017;0,9;20;95;70;-35;0,3473;0,8;0,4291;51,16;51,78;0,44
26.10.2017;-1,2;20;95;70;-35;0,3855;0,8;0,4664;53,97;55,42;-2,3
27.10.2017;-2,2;20;95;70;-35;0,4036;0,8;0,4839;55,29;56,61;20,0
28.10.2017;0,6;20;95;70;-35;0,3527;0,8;0,4345;51,56;56,64;-3,23
29.10.2017;3,7;20;95;70;-35;0,2964;0,8;0,378;47,33;56,05;-2,78
30.10.2017;0,5;20;95;70;-35;0,3545;0,8;0,4363;51,7;54,26;-1,42
31.10.2017;-0,3;20;95;70;-35;0,3691;0,8;0,4505;52,77;53,47;20,0
01.11.2017;7,2;20;95;70;-35;0,2327;0,8;0,3115;42,38;53,5;-0,85
02.11.2017;8,3;20;95;70;-35;0,2127;0,8;0,2899;40,78;53,16;-0,59
03.11.2017;8,5;20;95;70;-35;0,2091;0,8;0,2859;40,48;51,15;20,0
04.11.2017;3,3;20;95;70;-35;0,3036;0,8;0,3854;47,88;49,98;1,77
05.11.2017;1,2;20;95;70;-35;0,3418;0,8;0,4237;50,75;51,68;0,51
06.11.2017;2,6;20;95;70;-35;0,3164;0,8;0,3982;48,84;54,35;-1,49
07.11.2017;2,6;20;95;70;-35;0,3164;0,8;0,3982;48,84;55,78;-2,57
08.11.2017;-0,2;20;95;70;-35;0,3673;0,8;0,4487;52,64;53,59;20,0
09.11.2017;3,7;20;95;70;-35;0,2964;0,8;0,378;47,33;53,12;-0,56
10.11.2017;0,8;20;95;70;-35;0,3491;0,8;0,4309;51,29;53,96;-1,19
11.11.2017;-3,8;20;95;70;-35;0,4327;0,8;0,5116;57,39;51,67;0,52
12.11.2017;-8,2;20;95;70;-35;0,5127;0,8;0,586;63,04;62,45;-7,74
13.11.2017;-4,2;20;95;70;-35;0,44;0,8;0,5185;57,91;65,13;-9,86
14.11.2017;-0,9;20;95;70;-35;0,38;0,8;0,4611;53,57;65,49;-10,15
15.11.2017;-1,8;20;95;70;-35;0,3964;0,8;0,477;54,76;63,85;20,0
16.11.2017;-9,0;20;95;70;-35;0,5273;0,8;0,5993;64,05;61,06;-6,65
17.11.2017;-6,2;20;95;70;-35;0,4764;0,8;0,5525;60,49;66,04;-10,59
18.11.2017;-1,1;20;95;70;-35;0,3836;0,8;0,4647;53,84;67,3;-11,6
19.11.2017;-0,3;20;95;70;-35;0,369090909;0,8;0,450512327;52,7706568;67,46;-11,73
20.11.2017;-3,4;20;95;70;-35;0,425454545;0,8;0,504757214;56,86550767;64,79;-9,59
21.11.2017;-3,2;20;95;70;-35;0,421818182;0,8;0,501302922;56,60415992;63,66;20,0
22.11.2017;-9,0;20;95;70;-35;0,527272727;0,8;0,599277879;64,04577651;61,53;20,0
